,Time,Close,Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,Time
37,2003-02-01 00:00:00-05:00,1009.739990234375,2/27/23,4.67,4.83,4.89,5.02,5.18,5.03,4.78,4.49,4.17,4.08,3.92,4.11,3.93,2023-02-27
38,2003-03-01 00:00:00-05:00,1018.6599731445312,2/28/23,4.65,4.81,4.88,5.0,5.17,5.02,4.81,4.51,4.18,4.07,3.92,4.1,3.93,2023-02-28
39,2003-04-01 00:00:00-05:00,1106.06005859375,3/1/23,4.67,4.82,4.9,5.02,5.2,5.06,4.89,4.61,4.27,4.17,4.01,4.17,3.97,2023-03-01
40,2003-05-01 00:00:00-04:00,1197.8900146484375,3/2/23,4.75,4.8,4.91,5.02,5.18,5.04,4.89,4.63,4.32,4.24,4.08,4.24,4.03,2023-03-02
41,2003-06-01 00:00:00-04:00,1201.68994140625,3/3/23,4.75,4.79,4.91,5.01,5.18,5.03,4.86,4.6,4.26,4.15,3.97,4.12,3.9,2023-03-03
42,2003-07-01 00:00:00-04:00,1276.93994140625,3/6/23,4.75,4.79,4.93,5.02,5.22,5.05,4.89,4.61,4.27,4.16,3.98,4.14,3.92,2023-03-06
43,2003-08-01 00:00:00-04:00,1341.199951171875,3/7/23,4.8,4.88,5.04,5.12,5.32,5.22,5.0,4.66,4.31,4.17,3.97,4.11,3.88,2023-03-07
44,2003-09-01 00:00:00-04:00,1303.699951171875,3/8/23,4.77,4.88,5.06,5.21,5.34,5.25,5.05,4.71,4.34,4.19,3.98,4.11,3.88,2023-03-08
45,2003-10-01 00:00:00-04:00,1416.3900146484375,3/9/23,4.83,4.96,5.05,5.19,5.32,5.18,4.9,4.56,4.22,4.1,3.93,4.09,3.88,2023-03-09
46,2003-11-01 00:00:00-05:00,1424.25,3/10/23,4.81,4.91,5.01,5.08,5.17,4.9,4.6,4.31,3.96,3.86,3.7,3.9,3.7,2023-03-10
47,2003-12-01 00:00:00-05:00,1467.9200439453125,3/13/23,4.62,4.81,4.87,4.87,4.81,4.3,4.03,3.88,3.68,3.65,3.55,3.85,3.7,2023-03-13
48,2004-01-01 00:00:00-05:00,1493.0799560546875,3/14/23,4.47,4.77,4.88,4.95,4.93,4.45,4.2,4.05,3.78,3.74,3.64,3.91,3.77,2023-03-14
49,2004-02-01 00:00:00-05:00,1470.3800048828125,3/15/23,4.23,4.56,4.75,4.85,4.73,4.19,3.93,3.83,3.59,3.57,3.51,3.82,3.7,2023-03-15
50,2004-03-01 00:00:00-05:00,1438.4100341796875,3/16/23,4.22,4.66,4.74,4.92,4.94,4.49,4.14,3.99,3.72,3.67,3.56,3.87,3.71,2023-03-16
