date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2025-09-19,980,980,IBM,2025-09-19,190.0,62.78,call,0,61,0.23431,0.973,0.00147,-0.02827,0.11254,0.90993,0.50411,1.114819,62.78,2025-09-19
2025-09-19,982,982,IBM,2025-09-19,195.0,58.35,call,0,53,0.24696,0.95445,0.00215,-0.03263,0.17284,0.90874,0.50411,1.00117,58.35,2025-09-19
2025-09-19,983,983,IBM,2025-09-19,195.0,3.58,put,5,256,0.35748,-0.1086,0.00289,-0.02863,0.33646,-0.15925,0.50411,46.6653,3.58,2025-09-19
2025-09-19,984,984,IBM,2025-09-19,200.0,53.0,call,0,111,0.24345,0.9413,0.00266,-0.03514,0.21145,0.91523,0.50411,0.6807121,53.0,2025-09-19
2025-09-19,985,985,IBM,2025-09-19,200.0,4.23,put,1,326,0.3529,-0.12586,0.00325,-0.03113,0.37352,-0.18502,0.50411,50.89566,4.23,2025-09-19
2025-09-19,986,986,IBM,2025-09-19,205.0,55.43,call,2,3343,0.27867,0.89749,0.00355,-0.04457,0.32271,0.87608,0.50411,0.9458612,55.43,2025-09-19
2025-09-19,987,987,IBM,2025-09-19,205.0,5.25,put,5,141,0.3494,-0.14544,0.00362,-0.03374,0.41244,-0.21449,0.50411,55.26875,5.25,2025-09-19
2025-09-19,988,988,IBM,2025-09-19,210.0,46.62,call,0,78,0.27333,0.87794,0.0041,-0.04718,0.3656,0.87289,0.50411,0.6526782,46.62,2025-09-19
2025-09-19,989,989,IBM,2025-09-19,210.0,6.15,put,8,231,0.34559,-0.16667,0.004,-0.03618,0.4512,-0.24656,0.50411,59.73316,6.15,2025-09-19
2025-09-19,990,990,IBM,2025-09-19,215.0,41.25,call,0,94,0.26419,0.85851,0.0047,-0.04901,0.40483,0.87016,0.50411,0.4036917,41.25,2025-09-19
2025-09-19,991,991,IBM,2025-09-19,215.0,7.2,put,5,174,0.34223,-0.18993,0.00439,-0.03851,0.48993,-0.28195,0.50411,64.29214,7.2,2025-09-19
2025-09-19,992,992,IBM,2025-09-19,220.0,42.38,call,0,344,0.26784,0.82674,0.0053,-0.05305,0.46256,0.84815,0.50411,0.3226897,42.38,2025-09-19
2025-09-19,993,993,IBM,2025-09-19,220.0,8.75,put,8,232,0.33888,-0.21493,0.00477,-0.0406,0.52755,-0.32023,0.50411,68.92352,8.75,2025-09-19
2025-09-19,994,994,IBM,2025-09-19,225.0,49.05,call,0,132,0.26922,0.79406,0.00586,-0.05643,0.51448,0.82449,0.50411,0.2455733,49.05,2025-09-19
2025-09-19,995,995,IBM,2025-09-19,225.0,9.75,put,16,223,0.33614,-0.24189,0.00514,-0.04252,0.56379,-0.36187,0.50411,73.62421,9.75,2025-09-19
2025-09-19,996,996,IBM,2025-09-19,230.0,32.9,call,0,316,0.27287,0.75783,0.00634,-0.05988,0.56414,0.79458,0.50411,0.1983834,32.9,2025-09-19
2025-09-19,998,998,IBM,2025-09-19,235.0,30.35,call,0,269,0.28751,0.71537,0.00653,-0.06486,0.6127,0.75208,0.50411,0.213787,30.35,2025-09-19
2025-09-19,999,999,IBM,2025-09-19,235.0,12.85,put,11,214,0.33735,-0.30223,0.00573,-0.04647,0.62997,-0.4578,0.50411,83.22802,12.85,2025-09-19
2025-09-19,1000,1000,IBM,2025-09-19,240.0,30.38,call,1,230,0.2773,0.68308,0.00711,-0.06492,0.64316,0.72933,0.50411,0.121928,30.38,2025-09-19
2025-09-19,1001,1001,IBM,2025-09-19,240.0,14.7,put,13,378,0.33004,-0.33184,0.00609,-0.04642,0.65543,-0.50369,0.50411,88.00506,14.7,2025-09-19
2025-09-19,1002,1002,IBM,2025-09-19,245.0,27.14,call,1,139,0.27211,0.64636,0.00757,-0.06537,0.67138,0.69846,0.50411,0.07652222,27.14,2025-09-19
2025-09-19,1004,1004,IBM,2025-09-19,250.0,24.54,call,8,1435,0.27287,0.60692,0.0078,-0.06633,0.69439,0.66108,0.50411,0.05715622,24.54,2025-09-19
